question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
Which of the following represents the correct due date and late policy for the final homework assignment (Homework #11) in SEAS 8515?,"Due July 31, 2026; late submissions are penalized 50% flat.","Due August 15, 2026; late submissions are accepted with prior approval.","Due July 24, 2026; late submissions are penalized 10% per day.","Due August 1, 2026 at 11:59pm EST; no late submissions are accepted.","Due August 7, 2026 at 11:59pm EST; no late submissions are accepted.",E,Slide 74 ('What To Work On This Week') of the Lecture 12 material and course updates confirm that Homework #11 is due 8/7 @ 11:59pm EST and states in bold: 'No late submissions accepted'.
"What is the correct file naming convention for homework submissions in SEAS 8515, and what is the consequence of failing to follow it?",Firstname_Lastname_Homework#.ipynb; 10% deduction per day.,Homework#_firstname_lastname.ipynb (or .doc); points are deducted.,HW#_firstname_lastname.zip; the assignment is graded as a zero.,SEAS8515_HW#_lastname.ipynb; 5-point flat penalty.,"Homework_lastname.ipynb; no penalty, but strongly discouraged.",B,Slide 94 states: 'Homework submissions should be in the format of Homework#_firstname_lastname.ipynb (or .doc depending on assignment)... I started deducting points for not following instructions'.
"According to the course policy on class recordings, which of the following is strictly prohibited?",Releasing recordings of class sessions publicly.,Sharing recordings with registered classmates within the same section.,Viewing recordings on an unauthorized device.,Muting your microphone while playing back class recordings.,Downloading recordings for personal academic review.,A,"Slide 103 (and similar reminders) states: 'Recordings: As part of the educational support for students, we provide downloadable recordings of each class session to be used exclusively by registered students in that particular class for their own private use. Releasing these recordings is strictly prohibited.'"
What are the rules regarding the final exam coverage and the Week 13 course material?,The final exam is entirely project-based; there is no proctored exam.,The final exam covers weeks 1-11; Week 12 and Week 13 materials are excluded.,The final exam covers weeks 1-12; Week 13 lecture material will not be on the final.,The final exam is cumulative across weeks 1-13; all materials are testable.,The final exam only covers weeks 6-12; Week 13 material is heavily weighted.,C,Slide 70 of Lecture 12 states: 'Material from the final will come from weeks 1-12. Week 13 lecture material will not be on the final.'
Which of the following represents the classic machine learning definition proposed by Tom Mitchell (1997)?,An algorithm is said to learn if it approximates a neural network's weights through backpropagation.,An algorithm is said to learn from experience E if its performance P at task T improves with experience E.,An algorithm is said to learn if it processes massive structured datasets without manual programming.,An algorithm is said to learn from labeled data points x if it minimizes the cross-entropy loss function.,An algorithm is said to learn when it can scale features automatically across distributed clusters.,B,Slide 28 quotes Tom Mitchell (1997): 'An algorithm is said to learn from experience E if its performance P at task T improves with experience E.'
How is Machine Learning conceptually defined in the core slides of Lecture 11?,"A process for extracting patterns from data using statistics, linear algebra, and numerical optimization.",A data architecture paradigm that separates computing from storage in the cloud.,A process of writing rule-based heuristics that automate data extraction from websites.,A technique of query processing that optimizes distributed database execution plans.,A method of software engineering focused entirely on writing unit tests for containerized microservices.,A,"Slide 14 ('Machine Learning - Recap') states: 'Machine learning is a process for extracting patterns from data using statistics, linear algebra, and numerical optimization.'"
What are the four primary types of machine learning highlighted in the Lecture 11 recap?,"Structured, semi-structured, unstructured, and stream learning.","Deterministic, stochastic, heuristic, and probabilistic.","Supervised, semi-supervised, unsupervised, and reinforcement learning.","Classification, regression, clustering, and association rule mining.","Deep learning, neural networks, transfer learning, and generative AI.",C,"Slide 14 (and Slide 28) explicitly lists: 'supervised, semi-supervised, unsupervised, and reinforcement learning' as the several types of machine learning."
What characterizes the data and objective of Supervised Learning?,It relies on human operators to manually label every single test set point at runtime.,It uses structured metadata to establish table schemas in the Hive Metastore.,It uses unlabeled data with only inputs <x> to discover compact representations.,It uses reward/penalty systems to guide a dynamic agent taking sequential actions.,"It uses labeled data with inputs and associated output labels <x, y> to predict output labels for new inputs.",E,"Slide 16 and Slide 28 define Supervised Learning as using labeled data with inputs and associated output labels <x, y>, with the goal of predicting output labels for new unlabeled inputs."
"In Supervised Learning, how are classification and regression problems distinguished?","Classification requires JVM execution, while regression executes natively in Python.","Classification involves predicting discrete labels, while regression involves predicting continuous numerical values.","Classification is evaluated using R-squared, while regression is evaluated using F1 score.","Classification predicts continuous numerical values, while regression predicts discrete labels.","Classification is exclusively unsupervised, while regression is exclusively supervised.",B,"Slide 16 (and Slide 28) states that classification problems involve predicting discrete labels (binary or multiclass), whereas regression problems involve predicting continuous numerical values."
What characterizes the data and objective of Unsupervised Learning?,It evaluates model accuracy on test sets by comparing results to ground-truth labels.,"It identifies data structures and patterns without pre-assigned labels, such as clustering.","It uses heavily labeled data <x, y> to optimize deep neural network weights.",It uses a mix of labeled and unlabeled data to guide gradient boosted trees.,It relies entirely on real-time streaming APIs to record transactional changes.,B,"Slide 21 and Slide 28 define Unsupervised Learning as working without pre-assigned labels, seeking to identify structures, clusters, groupings, anomalies, or compact representations."
Which of the following algorithms are supported by Spark MLlib for Unsupervised Learning?,"Random forests, gradient boosted trees, and support vector machines.","Naive Bayes, multilayer perceptrons, and linear SVCs.","k-means, Latent Dirichlet Allocation (LDA), and Gaussian mixture models.","Linear regression, logistic regression, and decision trees.","XGBoost, Isolation Forests, and Principal Component Analysis.",C,"Slide 21 states: 'MLlib supports unsupervised learning with algorithms like k-means, LDA, and Gaussian mixture models.'"
What is a primary motivation for choosing unsupervised learning methods over supervised ones?,Supervised methods are less accurate than unsupervised methods.,"Supervised machine learning requires costly labeled data, prompting the use of unsupervised methods.",Unsupervised models do not require a SparkSession to execute.,Unsupervised learning is the only way to run linear regression on Spark.,"Unsupervised algorithms compile directly into Java bytecode, whereas supervised ones do not.",B,"Slide 21 states: 'Supervised machine learning requires costly labeled data, prompting the use of unsupervised methods.'"
"In the context of Apache Spark's machine learning libraries, how are spark.mllib and spark.ml distinguished?","spark.mllib requires an external MLflow connection, while spark.ml does not.","spark.mllib is for Python, while spark.ml is for Scala.","spark.mllib is for supervised learning, while spark.ml is for unsupervised learning.","spark.mllib is RDD-based legacy support, while spark.ml is for modern DataFrame-based applications.","spark.mllib operates on the driver, while spark.ml distributes work to executors.",D,"Slide 22 ('Why Spark for Machine Learning?') explains: 'It includes spark.mllib for RDD-based legacy support and spark.ml for modern DataFrame applications, focusing on the latter for new projects.'"
Why is Apache Spark considered a powerful platform for Machine Learning?,"It bypasses the JVM entirely, resolving memory and serialization bottlenecks.",It requires no feature engineering or data preprocessing to run models.,"It automatically labels raw, unstructured datasets using integrated LLMs.","It offers a single ecosystem for data ingestion, feature engineering, model training, and deployment.","It is written in Python, which is the most efficient language for CPU execution.",D,"Slide 22 states that Spark is a 'Unified Platform: Spark offers a single ecosystem for data ingestion, feature engineering, model training, and deployment, enhancing efficiency and scalability.'"
"In the hands-on case study presented in Lecture 11, what dataset and objective are used to demonstrate MLlib?","The Titanic dataset, aiming to predict survival probabilities (a binary classification problem).","The MNIST dataset, aiming to recognize handwritten digits (an image classification problem).","An IoT device sensor dataset, aiming to detect anomalies in real-time streaming data.","The Iris dataset, aiming to classify flower species (a multiclass classification problem).","The San Francisco Airbnb dataset, aiming to predict nightly rental prices (a regression problem).",E,"Slide 24 states: 'Demonstrates pipeline design using the San Francisco Airbnb dataset, aiming to predict nightly rental prices, a regression problem...'"
"How is the dataset split in the Airbnb case study, and why is a random seed explicitly specified?",Split 80/20 train/test; seed is set to bypass Spark's lazy evaluation mechanism.,Split 80/20 train/test; seed is set (often to 42) to ensure consistency and reproducibility in data splitting.,Split 50/50 randomly; seed is set to prevent memory overhead in executors.,Split 90/10 train/test; seed is set to randomize column order during training.,Split 70/30 train/test; seed is set to automatically drop outliers from the test set.,B,"Slide 15 (and code on Slide 17) shows an 80/20 train/test split and states: 'the practice of setting a random seed, often humorously set to 42, to ensure consistency in data splitting for reproducible results'."
"Which equation represents the simple linear regression relationship modeled in the Airbnb case study, and what do the variables represent?","y = mx^2 + b, where 'y' is bedrooms, 'x' is price, and 'm' is coefficient.","y = ax + by + c, where 'y' is the independent variable and 'x' is dependent.","y = log(x) + b, where 'y' is price and 'x' is sparse vector indices.","y = mx + b, where 'y' is predicted price, 'x' is bedrooms, 'm' is slope, and 'b' is intercept.","y = mx + e, where 'y' is the feature vector, 'x' is label, and 'e' is residuals.",D,"Slide 41 explains simple linear regression for predicting Airbnb rental prices based on the number of bedrooms using the linear equation y = mx + b, where 'm' is the slope (coefficient) and 'b' is the intercept."
"What are residuals (ε) in linear regression, and how are they handled to optimize model accuracy?","They are non-zero elements in a SparseVector, stored to save memory.","They are categorical categories, indexed using StringIndexer.","They are duplicate records in the training set, dropped during feature engineering.","They are the errors between predictions and actual values, minimized by squaring them in linear regression.","They are the coefficients learned during training, minimized using k-means.",D,"Slide 42 states: 'Residuals (ε) are the errors between model predictions and actual values, typically assumed to be Gaussian. Linear regression seeks to minimize the square of these residuals to enhance model accuracy.'"
