question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"If a raw pretrained base model (a text predictor) is prompted with the question ""What is the capital of France?"", what is a highly likely and plausible continuation it might output based on its pretraining objective?","""The capital of France is Paris.""","""Paris.""","""What is the capital of Germany? What is the capital of Italy?"" (a list of similar quiz questions)","""I am an AI assistant, and the answer is Paris.""","""France is a country in Europe with Paris as its capital.""",C,"A base model is trained on next-token prediction over a web-scale corpus. Since the question text pattern resembles a trivia quiz in its training data, a highly plausible continuation is a list of more quiz questions, rather than an answer."
Adapting a large language model involves trading off computational cost against the level of behavioral control. Which of the following lists the four main adaptation levers in the correct order of increasing computational and infrastructure cost?,"Decoding settings, Prompt engineering, Fine-tuning, Retrieval-Augmented Generation (RAG)","Prompt engineering, Decoding settings, Retrieval-Augmented Generation (RAG), Fine-tuning","Decoding settings, Prompt engineering, Retrieval-Augmented Generation (RAG), Fine-tuning (including PEFT and full tuning)","Retrieval-Augmented Generation (RAG), Prompt engineering, Fine-tuning, Decoding settings","Fine-tuning, Retrieval-Augmented Generation (RAG), Prompt engineering, Decoding settings",C,"Decoding settings (sampler control) are the cheapest inference-time intervention, followed by prompt engineering. RAG introduces retrieval database writes and searches, while Fine-tuning (PEFT/SFT/Preference) requires actual weight updates and training runs, making it the most expensive."
A hospital wants an assistant that answers from internal policy documents revised weekly and that points to the exact source page for every claim. Which of the following is the most appropriate adaptation lever?,"Decoding settings (e.g., lower temperature)",Prompt engineering (few-shot prompting),Supervised Fine-Tuning (SFT),Retrieval-Augmented Generation (RAG),Direct Preference Optimization (DPO),D,"Weekly revisions and exact page citations make fine-tuning a poor fit because weights encode a static training snapshot and yield diffuse answers with no citation. RAG keeps documents in an external store, where updates are simple database writes rather than fresh training runs."
Which of the following statements correctly describes greedy decoding and its primary failure mode in open-ended generation?,"It is non-deterministic and leads to high-entropy, creative outputs.",It is deterministic and its compounding locally optimal choices often cause the model to get stuck in repetitive loops.,"It evaluates multiple steps ahead, ensuring a globally optimal sequence.",It truncates the probability distribution dynamically based on a cumulative probability threshold.,It operates by setting the temperature T to a value greater than 2.0.,B,"Greedy decoding always selects the most likely token at each step (deterministic). Locally optimal choices compound into repetitive strings, causing the model to get stuck in loops like 'I don\'t know. I don't know.'"
"In which type of task is beam search highly effective, and how does it behave in open-ended text generation?",Highly effective for creative writing; it makes open-ended text more surprising and diverse.,"Highly effective for closed-ended tasks like translation; in open-ended generation, it tends to make degeneration worse by finding bland, repetitive text.",Ineffective for translation; highly effective for open-ended dialogue turns.,Effective only for mathematical word problems when temperature is very high.,It is equivalent to nucleus sampling where the threshold p is extremely small.,B,"Beam search maintains the B highest-scoring partial sequences. It is excellent for closed-ended tasks like machine translation. In open-ended generation, maximizing likelihood leads to bland, repetitive text because human language stays informative by continually surprising the reader."
"In autoregressive generation, temperature scaling adjusts the logits before softmax. Mathematically, what is the effect on the token probability distribution as temperature T approaches 0, and as T grows very large?","As T -> 0, the distribution becomes uniform; as T -> infinity, the distribution concentrates all mass on the argmax token.","As T -> 0, the distribution concentrates all mass on the argmax token; as T -> infinity, the distribution becomes uniform (approaching word salad).","As T -> 0, the logits are doubled; as T -> infinity, the logits are zeroed.",Temperature has no effect on the distribution shapes; it only caps sequence length.,"As T -> 0, the model uses fewer parameters; as T -> infinity, the model uses more layers.",B,"Temperature scales logits via z_i / T before softmax. When T -> 0, the distribution is scaled such that the highest logit dominates (equivalent to greedy decoding). When T is very large (e.g., T=1.5+), the probabilities flatten out, leading to highly random, incoherent word salad."
What is the primary advantage of Nucleus (Top-p) sampling over a fixed Top-k sampling truncation?,"Top-p sampling uses a fixed number of tokens, ensuring predictable computation times.","Top-p sampling adjusts the truncation threshold dynamically based on the model's confidence, expanding for flat distributions and contracting for peaked ones.","Top-p sampling completely eliminates the softmax layer, saving GPU memory.","Top-p sampling is a training-time method, whereas Top-k is only an inference-time method.",Top-p sampling relies on absolute quality scores assigned by human annotators.,B,"Fixed Top-k can include weak candidates in peaked distributions or exclude valid ones in flat distributions. Nucleus (Top-p) sampling dynamically adjusts the candidate set to keep the smallest set whose cumulative probability mass reaches p, tracking the model's own confidence."
How do frequency and presence penalties discourage repetition during decoding in production LLM APIs?,They set the logits of all previously generated tokens to negative infinity.,They dynamically subtract a penalty directly from the logits of already-used tokens.,They reduce the learning rate of the adapter weights during fine-tuning.,They prune the attention heads that attend to the same token twice.,They pad the sequence with OOV tokens to force new topics.,B,"Frequency and presence penalties subtract a value from the logits of tokens that have already been generated in the sequence, directly discouraging the model from repeating them."
"Which of the following formulas correctly represents prompt engineering from a probabilistic perspective, where theta represents the frozen parameters of the language model?",p(prompt | output),p_theta(output | prompt),p_theta(prompt | output),p(output | theta),p(prompt | theta),B,"Prompting is conditioning: it engineers the context to steer the model's output distribution, represented as p_theta(output | prompt), without making any updates to the model's parameters theta."
What is the defining characteristic of in-context learning in large language models?,The model updates a tiny set of weights during inference using few-shot examples.,The model learns the task from demonstrations inside the context window at inference time with zero weight updates.,It is a training process where the model is fine-tuned on task demonstrations.,It forces the model to output a scalar confidence score for every prediction.,It relies on a separate reward model to align the output to human preferences.,B,"Few-shot prompting elicits 'in-context learning,' which emerged as an unexpected property of scale in GPT-3. The model learns the task directly from context examples at inference time without modifying any of its weights theta."
