question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"According to the Lecture 6 reminders, which proctoring tool is used to administer the SEAS 8515 midterm exam?",Zoom Proctoring with live TA monitoring,"Remote Proctor Now, which records the examinee’s webcam, audio, and desktop",Blackboard Respondus LockDown Browser with manual review,ProctorU live proctoring service,Honorlock automatic browser tracking,B,"According to Slide 12, exams are proctored by Remote Proctor Now, which records the examinee’s webcam, audio, and desktop."
What is the official time limit designed for the SEAS 8515 midterm exam?,1 hour,1.5 hours,2 hours,2.5 hours,3 hours,C,Slide 12 states that the exam is designed to be completed in 2 hours and has a 2 hour time limit.
What physical materials are students permitted to bring to the midterm exam according to course reminders?,The FoDE textbook and physical lecture prints,"A single, 8.5”x11” reference sheet (front and back) and a single, 8.5”x11” scratch paper",Unlimited scratch paper and any physical writing materials,A physical scientific calculator and two double-sided reference sheets,No physical materials are allowed because it is a proctored electronic exam,B,"Slide 12 states that students are permitted to bring a single, 8.5”x11”, reference sheet (front and back) and a single, 8.5”x11”, scratch paper (any format)."
What is the release and completion window for the mid-term exam?,"Released at 9:10 am EST on June 20, 2026, and must be completed by 11:10 am EST","Released at 9:10 am EST on June 27, 2026, and must be completed by 11:10 am EST","Released at 4:00 pm EST on June 27, 2026, and must be completed by 6:00 pm EST","Released at 9:10 am EST on July 4, 2026, and must be completed by 11:10 am EST","Released at 9:00 am EST on June 27, 2026, and must be completed by 11:00 am EST",B,"Slide 12 states: 'The mid-term will be released in the “tests” tab at 9:10 am EST on June, 27 and must be completed no later than 11:10am EST.'"
Which of the following software applications or resources is strictly NOT allowed during the midterm exam?,Only web browsers,Only Zoom,Excel or the use of any IDE,Word or document viewers,Calculator applications,C,Slide 12 states: 'Excel or the use of any IDE is not allowed.'
What are the assigned Git reading chapters for Weeks 1-2 Python and Git Basics?,Git Reading Chapters 1-2,Git Reading Chapters 1-3,Git Reading Chapters 1-5,Git Reading Chapters 2-4,Git Reading Chapters 3-5,B,Slide 14 lists under Weeks 1-2 Python and Git Basics: 'Assigned Reading: Git Reading Chapters 1-3'.
Which chapter of FoDE is assigned for Week 3 'Overview of Data Engineering; Storage'?,Chapter 1 of FoDE,Chapter 2 of FoDE,Chapter 3 of FoDE,Chapter 5 of FoDE,Chapter 7 of FoDE,A,Slide 14 lists under Week 3 Overview of Data Engineering; Storage: 'Assigned Reading: Chapter 1 of FoDE'.
Which chapter of FoDE is assigned for Week 5 'Data Ingestion and APIs'?,Chapter 1 of FoDE,Chapter 2 & 3 of FoDE,Chapter 4 of FoDE,Chapter 5 of FoDE,Chapter 7 of FoDE,E,Slide 14 lists under Week 5 Data Ingestion and APIs: 'Assigned Reading: Chapter 7 of FoDE'.
What reading chapters are assigned to students for Week 6 as listed in the Lecture 6 slides?,Chapters 2 & 3 of FoDE,Chapters 4 and 5 of FoDE,Chapters 6 and 7 of FoDE,Chapter 1 of FoDE,No chapters are assigned this week,B,Slide 107 under what to work on this week lists: 'Assigned Reading: Chapters 4 and 5 of FoDE'.
"Which Spark application concept is defined as a user program built on Spark utilizing its APIs, and contains both a driver program and executors on a cluster?",SparkSession,Job,Stage,Application,Task,D,"Slide 'Spark's Application Concepts' states: 'Application: A user program built on Spark, utilizing its APIs. It includes both a driver program and executors on a cluster.'"
"What object serves as the entry point to Spark's underlying functionality, enabling programming with Spark APIs, and is automatically instantiated in an interactive Spark shell?",SparkContext,SparkSession,DataFrameReader,SQLContext,ClusterManager,B,"Slide 'Spark's Application Concepts' states that SparkSession serves as the entry point, and it's automatically instantiated in an interactive Spark shell, whereas in a Spark application you must create it yourself."
"In Spark's application concepts, what is a parallel computation comprising multiple tasks, which is triggered by a Spark action like save() or collect()?",Application,SparkSession,Job,Stage,Task,C,"Slide 'Spark's Application Concepts' defines a Job as: 'A parallel computation comprising multiple tasks, triggered by a Spark action like save() or collect().'"
What are 'Stages' in the context of a Spark Job's execution plan?,Parallel computations triggered directly by user inputs,"Smaller sets of tasks that jobs are divided into, based on dependencies on each other",Individual executor cores assigned to process single data blocks,Temporary tables registered in the Hive metastore,Lineage sequences recorded during lazy evaluation,B,"Slide 'Spark's Application Concepts' defines Stage as: 'Jobs are divided into smaller sets of tasks called stages, which have dependencies on each other.'"
What is the smallest unit of execution or work sent to a Spark executor?,Job,Stage,Partition,Task,Core,D,Slide 'Spark's Application Concepts' defines Task as: 'The smallest unit of execution or work sent to a Spark executor.'
"In interactive Spark shell sessions, what component of the Spark application is responsible for converting the application into multiple Spark jobs?",The Driver,The Executor,The Cluster Node,The SparkSession,The Catalyst Optimizer,A,"Slide 'Spark Jobs' states: 'In interactive Spark shell sessions, the driver turns Spark applications into multiple Spark jobs.'"
Each Spark job is transformed into which structure that serves as the execution plan with nodes representing stages?,Linear Regression Tree,Directed Acyclic Graph (DAG),SparkSession Stack,Hive Metastore Schema,Relational DataFrame,B,"Slide 'Spark Jobs' states: 'Each Spark job is transformed into a Directed Acyclic Graph (DAG), serving as the execution plan with nodes representing one or more Spark stages.'"
How do Spark executors achieve high-level parallelism when processing data partitions within a stage?,By executing tasks sequentially on a single core,"By using multiple cores to process numerous tasks simultaneously, with each task processing a single data partition",By skipping the division of jobs into stages,By converting all DataFrames to RDDs at runtime,By executing wide transformations without shuffles,B,"Slide 'Spark Tasks' states: 'Each stage in Spark includes tasks, assigned to separate cores on Spark executors, with each task processing a single data partition. Executors with multiple cores can perform numerous tasks simultaneously, enabling high-level parallelism...'"
"Which operations, such as select() or filter(), create a new DataFrame from an existing one without modifying the original?",Actions,Projections,SparkSession configurations,Transformations,Catalyst optimizations,D,"Slide 'Transformations, Actions, and Lazy Evaluation' states: 'Transformations in Spark, like select() or filter(), create a new DataFrame from an existing one without modifying the original, showcasing data immutability.'"
What is meant by the 'Lazy Evaluation' of Spark transformations?,Spark waits for 2 hours before compiling any Spark Job,Transformations are computed immediately but kept in cache,"Transformations are not computed immediately but recorded as a lineage, with execution triggered only when an action is called",Spark executes transformations on a single driver core without distributing work,Spark drivers dynamically convert Python code to Scala before running,C,"Slide 'Transformations, Actions, and Lazy Evaluation' states: 'Spark employs lazy evaluation for transformations, meaning they are not immediately computed but recorded as a lineage... actual computation occurring only when an action is invoked or data is accessed.'"
How does Spark's lazy evaluation strategy allow query optimization?,By skipping stages and sending all code directly to the JVM,By examining chained transformations and using the recorded lineage to rearrange or coalesce operations into stages,By executing transformations eagerly as soon as they are written,By converting all DataFrames to unstructured RDDs immediately,By bypassing driver communication and executing directly on the Hive metastore,B,"Slides 'Transformations, Actions, and Lazy Evaluation' state: 'This approach allows Spark to optimize execution by rearranging or coalescing transformations into stages' and 'Spark optimizes queries by examining chained transformations, using the recorded lineage... for efficient processing.'"
How does Spark provide resilience and fault tolerance after a node failure?,By maintaining live duplicate copies of the driver program on all executors,By utilizing the immutable nature of DataFrames and the recorded lineage of transformations to recreate states post-failure,By saving all intermediate data partitions automatically to disk as SQL tables,By enforcing compile-time type safety on all Python code,By rebooting the entire cluster and re-reading the raw input file,B,"Slide 'Transformations, Actions, and Lazy Evaluation' states: 'Spark ensures fault tolerance and resilience by utilizing the immutable nature of DataFrames and the recorded lineage of transformations, allowing it to recreate states post-failure.'"
"In the Spark code example using strings: filtered = strings.filter(...); filtered.count(), when do the read and filter operations actually run?","Eagerly, when spark.read.text is called","Eagerly, when strings.filter is called",Only when the action count() is invoked,At compile time,Only when the DataFrame is saved as a Parquet file,C,"Slide 'Transformations and actions as Spark operations' states: 'the execution of transformations like read() and filter() only occurs when the action count() is invoked, demonstrating Spark's lazy evaluation mechanism.'"
What is Scala as defined in the aside section of Lecture 6?,An interpreted language designed for Python-based notebooks,A statically typed programming language that runs on the JVM and combines object-oriented and functional programming,A query optimization language used exclusively in Databricks,The original execution planning component underneath RDDs,A dynamically typed scripting tool for distributed clusters,B,Slide 'An Aside: Scala?' states: 'Scala is a statically typed programming language that runs on the JVM (Java Virtual Machine). It combines object-oriented and functional programming.'
Which programming language is Spark's core engine written in?,Python,Java,Scala,C++,R,C,"Slide 'An Aside: Scala?' states: 'Apache Spark is written in Scala, and Spark’s core engine runs in Scala.'"
Which of the following is a correct comparison between Scala and Python as presented in Lecture 6?,"Scala is interpreted, while Python is compiled","Scala is dynamically typed, while Python is statically typed","Scala is strong in data science & ML, while Python is strong in distributed systems","Scala is Spark's native language, while Python is the most popular Spark API","Scala runs on the Python VM, while Python runs on JVM",D,"Slide 'An Aside: Scala vs. Python' states that Scala is compiled, statically typed, strong in distributed systems, and Spark's native language, whereas Python is interpreted, dynamically typed, strong in data science & ML, and the most popular Spark API."
How are Spark transformations categorized based on partition dependencies?,Eager and lazy transformations,Static and dynamic transformations,Narrow and wide transformations,Relational and unstructured transformations,Compiled and interpreted transformations,C,Slide 'Narrow and Wide Transformations' states: 'Transformations are categorized based on dependencies: narrow dependencies... and wide transformations...'
What characterizes a 'Narrow Dependency' in Spark?,It requires shuffling and exchanging data across clusters,"It allows for output partition computation from a single input partition, processing data within a single partition without data exchange",It is only available in Python DataFrames,It requires the use of orderBy() or groupBy(),It is eagerly evaluated,B,Slide 'Narrow and Wide Transformations' states: 'narrow dependencies allow for output partition computation from a single input partition... can process data within a single partition without requiring data exchange between partitions.'
