question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"In a standard recurrent neural network (RNN) with state update ht = f(W*h_{t-1} + U*x_t + b), which of the following represents the primary computational bottleneck during training?",The need to store all past hidden states in memory simultaneously during inference.,"The sequential dependency of ht on h_{t-1}, which prevents parallelization of the forward and backward passes across time steps.","The non-linearity of the activation function f, which makes gradient updates non-differentiable.",The requirement that the input sequence must be padded to a length of at least 1000 tokens.,The high cost of computing the bias vector b at each time step compared to the weight matrices.,B,"Because the hidden state ht at time step t requires the hidden state h_{t-1} from the previous step, RNNs cannot compute state updates across time steps in parallel. This sequential bottleneck makes training slow on long sequences compared to parallel architectures like Transformers."
"During Backpropagation Through Time (BPTT) in recurrent neural networks, how does the effective depth of the computation graph scale, and what is its main consequence?",It scales logarithmically with sequence length; gradients are extremely stable.,It scales quadratically with vocabulary size; it causes the loss function to become non-convex.,It is constant regardless of sequence length; it prevents overfitting.,It scales linearly with the sequence length T; this makes the network prone to exploding or vanishing gradients as T grows.,It scales with the number of heads; it increases parameter size exponentially.,D,"Unrolling an RNN over a sequence of length T creates a deep computation graph of depth T. Backpropagating the loss through all these steps causes gradients to explode or vanish as they are repeatedly multiplied by weight matrices, limiting the RNN's ability to learn long-range dependencies."
What is 'teacher forcing' during the training of an autoregressive recurrent neural network language model?,Replacing the recurrent layers with self-attention layers to force faster training.,Feeding the model's own predicted token from step t-1 as the input to step t.,Feeding the true ground-truth token x_t as the input to step t instead of the model's own predicted token from the previous step.,Manually adjusting the learning rate when validation loss plateaus to force convergence.,Using a separate teacher model to generate predictions that the student model must mimic.,C,"Teacher forcing is a training strategy where the ground-truth sequence is fed directly as inputs to the model at each time step. This avoids cascading errors during early training, although it creates exposure bias since at inference time the model must rely on its own generations."
Which of the following is a common architectural reason for selecting a Gated Recurrent Unit (GRU) over a Long Short-Term Memory (LSTM) network?,"GRU is bidirectional by default, whereas LSTM can only process text left-to-right.","GRU has three gating units (forget, input, output), while LSTM has only two.","GRU has fewer gates and parameters, making it computationally faster and less prone to overfitting on smaller datasets.","GRU eliminates the sequential dependency entirely, allowing parallel training on GPUs.",GRU uses a larger hidden dimension that is independent of input sequence length.,C,"The GRU consolidates the cell state and hidden state, and combines the forget and input gates into a single update gate. This simpler gating mechanism results in fewer parameters than LSTM, making it faster to train and a common choice when resources or data are scarce."
Why is a Bidirectional RNN unsuitable for driving autoregressive next-token text generation in real-time?,It can only represent static word embeddings like word2vec and cannot resolve lexical ambiguity.,"It requires the entire future context of the sequence to compute the backward states, which are unavailable during token-by-token generation.","It has a parameter count that grows quadratically with each generated token, leading to out-of-memory errors.","The backward pass is non-differentiable, preventing the model from being fine-tuned.",It forces the perplexity of the model to diverge to infinity after generating more than five tokens.,B,"A bidirectional RNN runs one recurrence forward and one backward, merging their states so each position sees both sides. Since next-token autoregressive generation generates tokens one-by-one from left-to-right, the future tokens do not yet exist, making backward state computation impossible at inference time."
"In a sequence-to-sequence machine translation model without attention, what is the 'information bottleneck' that degrades performance on long sentences?",The vocabulary mismatch that occurs when unseen source tokens map to OOV tokens.,"The requirement to compress the entire variable-length source sentence into a single, fixed-size vector before decoding.",The high latency added by the beam search decoder when width B is larger than 1.,The vanishing of self-attention weights when they are divided by the scaling factor.,The restriction of the context window to a maximum of exactly 17 words.,B,Forcing the entire source sentence through one fixed-size context vector before starting the decoder means early words get crushed or forgotten in long sentences. This bottle-neck degrades translation quality on sentences longer than a few dozen words.
How does Bahdanau attention resolve the sequence-to-sequence encoder-decoder bottleneck?,By replacing all recurrent layers in the encoder and decoder with convolutional layers.,By freezing the encoder weights and training only a low-rank adapter on the decoder output.,By allowing the decoder at each step to form a weighted combination of all encoder hidden states instead of relying only on the final state.,By forcing the decoder to attend only to its own past generations through causal masking.,By expanding the dimension of the fixed context vector by a factor of 1000.,C,"With Bahdanau attention, the decoder maintains an open connection to all encoder hidden states. At each decoding step, it computes a relevance score (attention weight) for each encoder state, extracts a weighted sum (context vector), and uses it to predict the next word."
"In the Query-Key-Value analogy of attention, what does the 'Value' represent?",The search query string typed into a search box by the user.,The title or index metadata of a document that is matched against.,"The actual content of the document that is returned and summed, weighted by how well its key matched.",The scalar distance computed between the query and the key using cosine similarity.,The learnable scaling factor used to prevent softmax saturation.,C,"In an attention mechanism, Query is what the current token is looking for; Key is what each other token offers or advertises; Value is the actual content passed on and blended into the target context vector once relevance (Query-Key match) is computed."
Why is the dot product (qi · kj) used as the standard starting point for computing similarity in self-attention heads?,"It normalizes the magnitudes of both vectors to exactly 1.0, acting as cosine similarity.","It is mathematically simple, measures directional alignment in the learned vector space, and is extremely fast to compute as a matrix product on a GPU.",It forces all negative scores to become zero before the softmax is applied.,"It has a time complexity of O(N) where N is sequence length, avoiding the quadratic bottleneck.",It represents the Jaccard distance between the sets of characters in the tokens.,B,"Related word meanings sit close in embedding space, so their dot product is high. Computationally, taking the dot product of all query-key pairs across a sequence is highly optimized on modern hardware as a single large matrix multiplication (Q * K^T)."
"In the 'station' attention row example ('the train left the station on time'), if 'station' is the query token, what is the mechanical purpose of taking the softmax over its scaled dot products?",To project the vector 'station' into a lower 2-dimensional space via PCA.,To eliminate the need for positional encodings in the first Transformer block.,"To convert raw similarity scores into non-negative weights that sum to 1, defining how much 'station' blends in other tokens like 'train' and 'left'.",To mask out future tokens like 'on' and 'time' using causal masking.,To compute the cross-entropy loss of next-token prediction.,C,Softmaxing the scaled scores of a query row transforms them into a probability distribution. Multiplying these weights by the value vectors produces a context vector that blends in the contextually relevant words (like 'train' and 'left') to update 'station's representation.
