"question","choice_a","choice_b","choice_c","choice_d","choice_e","correct_answer","explanation"
"According to the Lecture 9 administrative reminders, when is the final exam scheduled?","August 8th, 2026","August 12th, 2026","August 15th, 2026","August 20th, 2026","August 22nd, 2026","C","Slide 62 explicitly states under Admin Items: 'Final exam is on August 15th, 2026'."
"What is the course policy regarding late submissions for homework assignments in SEAS 8515?","Late submissions are accepted with a 10% penalty per day up to 5 days.","Late submissions are accepted only with a valid medical excuse signed by a doctor.","Late submissions are accepted with a flat 50% penalty within 48 hours.","No late homework submissions are accepted under any circumstances.","Late submissions are allowed only for students who failed the midterm exam.","D","Slide 62 states under Admin Items: 'No late homework submissions accepted!'"
"Which of the following is true regarding the GWU SEAS Online proctored exam time limit for the final exam as highlighted in Lecture 9?","It has a flexible time limit depending on individual student progress.","It has a strict 3-hour time limit and same proctoring instructions as the midterm.","It has a 2-hour time limit and same instructions apply as the midterm.","It has a 1.5-hour time limit administered via a live Zoom TA proctor.","The final exam is untimed and can be completed asynchronously over a 48-hour window.","C","Slide 62 states: 'Final exam is on August 15th, 2026. Same format as final. Same instructions apply.' Referring back to Lecture 6 Slide 12, the midterm/final proctored exam is designed for 2 hours with a 2-hour time limit."
"What suggestions does ProfessorSteven Cocke ask students to submit as noted under Admin Items?","Suggestions for final project partner pairings","Suggestions for Week 13 material and topics","Suggestions for modifying the grading rubrics of homework assignments","Suggestions for guest speakers for the final class session","Suggestions for extra credit opportunities","B","Slide 62 lists under Admin Items: 'Week 13 Material Suggestions'."
"According to the GWU AI Use Policy for Online Engineering Programs, the use of generative AI is prohibited for which academic task?","Drafting or revising any portion of an assignment, exam, paper, or dissertation","Pasting standard dictionary definitions into study guides","Formatting a reference bibliography according to APA guidelines","Looking up library catalog call numbers","Translating public domain research from a foreign language","A","Slide 64 states that the use of generative AI is prohibited for any academic work submitted for an assignment, exam, etc., and students may not use AI to 'Draft any portion of an assignment, exam, paper, dissertation or praxis' or 'Revise content (e.g. identifying passages to cut or reorganize)'."
"Under the GWU Online Engineering AI Use Policy, in which area is generative AI use PERMITTED?","Writing or proofreading literary essays","Generating answers to textbook questions","Summarizing search results to replace literature reviews","Limited research to help identify sources like journal articles, conference papers, or textbooks","Automating draft summaries of slides for presentation reviews","D","Slide 64 states: 'AI Use Is Permitted Only for Limited Research. Students may use AI solely to help identify sources, such as relevant: Journal articles, Conference papers, Textbooks, Websites, Blogs, Podcasts etc.'"
"What is a major student responsibility when using AI for research source identification under the GWU policy?","Registering the AI software license with the University registrar","Paying a standard digital licensing fee to the online engineering department","Verifying the accuracy of all sources and ensuring citations are real and accurate","Submitting a complete transcript of the AI model conversation to the GWU Dean","Limiting searches only to university-sponsored proprietary databases","C","Slide 64 emphasizes: 'However, students remain fully responsible for: Verifying the accuracy of all sources; Ensuring citations are real and accurate; All content in any submitted work.'"
"What consequence can students face if they submit academic work containing fake or nonexistent AI-generated citations?","No penalty, as long as the student was unaware of the fabrication.","A verbal warning on the first infraction and mandatory library training.","They may lose points on their grade and/or be referred to the GWU Academic Integrity Council.","A flat 10-point reduction on that homework only.","They will be forced to retake the prerequisite Python classes.","C","Slide 64 explicitly warns: 'Fake or nonexistent citations may be treated as evidence of improper AI use, and the student may lose points on their grade and/or be referred to the GWU Academic Integrity Council.'"
"Under the GWU policy, what are the requirements if a student uses AI to assist in writing code?","No requirements, because coding is not considered academic work under the policy.","The student must pay royalties to the software developer.","The student must run the code on the official university servers and get it signed by a TA.","The student must be able to clearly explain the code to their advisor/professor and make attribution that AI was used.","The student must submit an independent 5-page research paper verifying the code's complexity.","D","Slide 64 states under 'Use of AI for writing code': 'Students may use AI to assist in writing code. However, students must: Be able to clearly explain the code to their advisor and defense committee; Be able to clearly explain the code to their professor in a course; The student must make attribution that AI was used to help develop the code.'"
"What is the relationship between Spark SQL and Spark's high-level Structured APIs as described in Lecture 9?","Spark SQL is an optional plugin that bypasses Structured APIs.","Spark SQL serves as the foundational engine for Spark's Structured APIs.","Spark SQL is a legacy module that has been replaced by RDD APIs.","Spark SQL is only used for executing SQL text queries and cannot interact with DataFrames.","Spark SQL is exclusively a storage format like Parquet.","B","Slide 74 states: 'Spark SQL serves as the foundation for the high-level Structured APIs'."
"Which of the following structured data formats is NOT listed as a supported reading/writing format in Spark SQL?","Parquet","Avro","JSON","CSV","YAML","E","Slide 74 lists support for: 'JSON, Hive tables, Parquet, Avro, ORC, and CSV.' YAML is not listed."
"How can external Business Intelligence (BI) tools like Tableau and Power BI execute queries on Spark SQL?","They must compile Spark code into custom JAR files and upload them.","Through JDBC/ODBC connectors that interface with Spark SQL.","They can only read from pre-exported flat CSV files.","By converting BI dashboards directly to Spark RDDs.","Through specialized cloud-only FTP protocols.","B","Slide 74 states that Spark SQL: 'Enables data querying through JDBC/ODBC connectors from external BI tools (e.g., Tableau, Power BI) and RDBMSs (e.g., MySQL, PostgreSQL).'"
