question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"In the Homework 11 writeup, Stack A and Stack B run head to head over the same 455 page-chunks. What models and embeddings are paired in Stack A and Stack B?",Stack A uses nomic-embed-text-v1.5 and Llama-3.2-3B-Instruct locally; Stack B uses gemini-embedding-001 and gemini-3.6-flash through the Google AI API.,Stack A uses gemini-embedding-001 and Llama-3.2-3B-Instruct locally; Stack B uses nomic-embed-text-v1.5 and gemini-3.6-flash.,Stack A uses nomic-embed-text-v1.5 and gemini-3.6-flash; Stack B uses gemini-embedding-001 and Llama-3.2-3B-Instruct.,Stack A uses text-embedding-ada-002 and Llama-3B; Stack B uses Cohere embeddings and Gemini Flash.,Both stacks use local Llama models with OpenAI embeddings.,A,"According to Section 1 of the HW11 writeup, Stack A pairs nomic-embed-text-v1.5 with Llama-3.2-3B-Instruct locally, while Stack B pairs gemini-embedding-001 with gemini-3.6-flash through the hosted Google AI API."
"How many dimensions do the dense vectors produced by the embedders in HW11 Stack A and Stack B have, and how does this affect the comparison?","Stack A has 384 dimensions and Stack B has 1536 dimensions, giving Stack B a dimensional advantage.","Both embedders produce 768-dimensional vectors, reflecting embedding quality without any advantage from vector width.","Stack A has 1024 dimensions and Stack B has 768 dimensions, giving Stack A a dimensional advantage.","Both embedders produce 1536-dimensional vectors, making them equivalent to OpenAI Ada embeddings.",Both embedders dynamically scale dimensions between 128 and 1024.,B,"As stated in Section 1 of the HW11 writeup, both embedders produce 768-dimensional vectors, meaning the comparison reflects pure embedding quality without any advantage from vector width."
"What is the specific corpus used in the Homework 11 evaluation study, and how is it chunked?","A collection of 10,000 Wikipedia articles split into fixed 500-token chunks.",4 fictional hospital-policy PDFs split into 47 page-level chunks.,"Three 10-K financial filings, chunked at one page per chunk for a total of 455 page-level chunks.",Ten corporate policy manuals chunked into 250-token blocks with a 10% overlap.,20 hand-labeled medical case reports chunked at paragraph boundaries.,C,"The HW11 writeup Section 1 and Figure 1 state that the corpus consists of three 10-K filings, where one page equals one chunk, resulting in a total of 455 page-chunks."
"In the consolidated results of Homework 11, which configuration performed best on retrieval metrics (MRR and Recall@5) and which performed best on generated answers?","Dense B won on retrieval metrics (MRR 0.676, Recall@5 0.752), while Hybrid won on generated answer correctness (score 4.83).","Hybrid won on retrieval metrics, while Dense B won on answer correctness.",BM25 won on both retrieval and generated answer correctness.,"Dense A won on retrieval, while Query Decomposition won on generated answers.",Hybrid with cross-encoder reranker won on both retrieval and answer correctness.,A,"As shown in Table 1 and Section 2 of the HW11 writeup, Dense B ranks the correct page highest (MRR 0.676) and recovers the most gold pages (Recall@5 0.752), whereas Hybrid delivers the best generated answers (correctness 4.83) despite a lower ranking score (MRR 0.508)."
How does the Homework 11 writeup explain the paradox where the Hybrid configuration has a worse MRR (0.508) than Dense B (0.676) but produces superior answers?,"Hybrid uses a smaller, faster model that avoids hallucinations.",The generator receives the top ten chunks while MRR and Recall@5 only grade the top few; Hybrid has better gold-page coverage at deeper retrieval slots (k=10).,"Hybrid filters out all irrelevant pages, leaving only perfect matches at k=1.","Dense B is too verbose, which confuses the judge model.",The RRF scoring constant c=60 penalizes top-ranked results too heavily.,B,"Section 2 explains that the generator receives the top 10 chunks while MRR and Recall@5 grade only the top-ordered chunks. Hybrid is worse at k=1 but best at k=10, delivering at least one gold page for every question, and the generator is indifferent to the order within the context window."
What is the observed mathematical impact of applying a cross-encoder reranker to the hybrid candidates in Homework 11?,It decreases MRR but increases Recall@5.,It leaves MRR unchanged but increases gold-page coverage at k=10.,It lifts MRR from 0.508 to 0.595 but drops Recall@5 from 0.604 to 0.557 because it promotes single strong passages over the spread of pages that multi-source questions require.,It increases both MRR and Recall@5 by over 15% across all categories.,"It causes the local stack to completely collapse, resulting in an MRR of 0.03.",C,"Section 2 and Table 1 show that reranking lifts MRR (from 0.508 to 0.595) by reordering candidates, but drops Recall@5 (from 0.604 to 0.557) because it favors single highly relevant passages over the diverse spread needed for multi-source questions."
"On the five 'hard' multi-document comparison questions in HW11, what happened to the local stack's (Dense A) performance compared to Dense B?","Both stacks performed equally well, achieving MRR scores above 0.80.","The local stack collapsed to an MRR of 0.03, while Dense B held a score of 0.52.","The local stack achieved an MRR of 0.52, while Dense B collapsed to 0.03.",Both collapsed to 0.00 due to vocabulary mismatch.,Dense A achieved 94% correctness on hard questions.,B,"Section 3 and Table 2 state that on the five hard questions, the local stack collapsed to 0.03 while Dense B held 0.52."
"Why do standard dense queries fail on hard comparative questions like 'Intel vs. AMD customer concentration' (Question 14 in HW11), and how does Query Decomposition resolve it?",Standard queries contain too many tokens; Query Decomposition truncates them to 50 words.,A single query vector sits 'in the middle' of the two company filings and retrieves only one side; Query Decomposition generates separate narrow sub-queries that land inside each filing.,Comparative terms are ignored by dense embedders; Query Decomposition translates them to BM25 sparse queries.,The context window size is too small; Query Decomposition expands the window to 1 million tokens.,Standard dense retrieval is biased toward longer AMD documents; Query Decomposition normalizes the vectors.,B,"Section 3 and 4 explain that a single query vector lands squarely in the middle and misses one of the filings (yielding 1/2 gold pages). Query decomposition generates narrower individual questions whose vectors land firmly inside each respective document, retrieving both halves."
"In HW11, Query Decomposition scored 1 on Question 16 ('Rank all three by R&D, twice'), which was well below the score that plain dense retrieval earned. What went wrong?",The model exceeded the maximum API output limit and truncated its answer.,"The decomposer generated sub-questions with unresolved placeholders like 'Company A' instead of verbatim names, resulting in useless search terms.",The BM25 index became disconnected during parallel retrieval.,The Google AI API failed to respond to parallel requests.,The gemini-3.5-flash-lite judge suffered from a self-preference bias.,B,"Section 4, Failure 2, explains that the decomposer deferred company names to its first sub-question and wrote remaining sub-questions with unresolved placeholders ('Company A', 'Company B', 'Company C'), which matched nothing in the 10-Ks, resulting in arbitrary retrieval."
"According to Homework 11, how do correctness and faithfulness metrics behave under retrieval failures, and why must they be read together?",Faithfulness and correctness are identical and always yield the same score.,"Correctness measures fabrication, while faithfulness measures whether the model answered the exact prompt.","A model can retrieve incomplete evidence and summarize it accurately, earning a perfect faithfulness score (no fabrication) but a low correctness score (incomplete answer).","Under extreme retrieval failures, faithfulness drops to 0 while correctness remains high.","Faithfulness is cheap to compute, while correctness requires human annotators.",C,Section 5 explains that a pipeline that retrieves incomplete evidence and summarizes it accurately earns a perfect faithfulness score while answering only half the question (low correctness). Faithfulness detects fabrication but says nothing about completeness.
