question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
What is the class mean and median score of the SEAS 8515 midterm exam as reported in the Lecture 8 Midterm Summary?,"Mean: 80.5, Median: 80","Mean: 74.8, Median: 74","Mean: 68.2, Median: 70","Mean: 71.3, Median: 72","Mean: 76.5, Median: 75",B,"According to the slide titled 'Midterm Summary' (Slide 30), the midterm summary statistics show a Number of Students (N) of 34, a Mean of 74.8, and a Median of 74."
When is the final exam scheduled to take place according to the SEAS 8515 Lecture 9 administration reminders?,"June 27th, 2026","July 18th, 2026","August 1st, 2026","August 15th, 2026","August 22nd, 2026",D,"Slide 'Admin Items' in Lecture 9 (Slide 110) states that the Final Exam is scheduled for August 15th, 2026."
What is the strict policy regarding late homework submissions in SEAS 8515 as defined in the Lecture 8 Admin Notes?,Late submissions are accepted up to 24 hours late with a 10% penalty,Late submissions are accepted up to 3 days late with a 20% penalty per day,All late submissions will receive a grade of 0,Late submissions are accepted only with a valid medical excuse approved by GWU,Late submissions receive a flat 50% deduction if submitted before the final exam,C,"According to Slide 'Admin Notes' (Slide 28), the slides state: 'All late submissions will receive a grade of 0'."
Which of the following is true regarding the scope and format of the final exam according to Lecture 8 and 9 administrative slides?,"The final exam is open-book, has a 3-hour limit, and covers only weeks 6-12","The final exam is closed-book, has no time limit, and covers all weeks 1-12","The final exam is closed-book, has a 2-hour time limit, covers weeks 1-12, but will place more focus on weeks 6-12","The final exam is closed-book, has a 2-hour limit, and focuses exclusively on weeks 1-5","The final exam is open-book, has a 2-hour limit, and focuses only on SQL and SparkSQL",C,"Slide 'Admin Notes' (Slide 28) and Lecture 9 Slide 110 indicate that all material through week 12 will be on the final exam, with more focus on weeks 6-12 since the midterm focused on weeks 1-5, and it has a 2-hour limit."
Which set of mechanisms is primarily used by relational databases to enforce structure and maintain data integrity?,"Lineages, MapReduce logs, and SparkSessions","Indexes, partitions, and dynamic cluster scaling","Primary keys, foreign keys, and constraints","Logical views, materialized CTEs, and execution plans","Staging areas, backup logs, and schema serialization",C,"Slide 'Structured Data & the Relational Model' (Slide 38) states that relational databases enforce structure through: Primary keys, Foreign keys, and Constraints."
"In structured relational data systems, what does the term 'Data Grain' refer to?",The total file size of the relational database in storage,The number of concurrent partitions processed by an execution engine,What a single row in a table represents,The security level assigned to individual table columns,The performance compression ratio of column data types,C,"According to Slide 'Understanding Data Grain' (Slide 60), 'Data grain refers to what a single row represents (e.g., one transaction, one product line, one customer-month).'"
Which of the following is a direct consequence of misunderstanding data grain when designing or querying relational databases?,Automatic database dropping or index corruption,Conversion of logical views into physical table formats at compile-time,"Incorrect joins, double counting of metrics, and flawed key performance indicators (KPIs)",Inability to use Common Table Expressions or ORDER BY clauses,Exceeding the 2-hour final exam limit on SQL compilation tasks,C,"Slide 'Understanding Data Grain' (Slide 60) states: 'Misunderstanding grain leads to incorrect joins, double counting, and flawed KPIs.'"
How is a 'Primary Key' defined in the context of relational database tables?,A unique identifier for each row in a table,A database index that speeds up full-table sequential scans,A column that references a primary key in another table,"The first column in a table, regardless of its values",A constraint that prevents tables from having more than 1000 records,A,Slide 'Primary Keys and Foreign Keys' (Slide 78) defines 'Primary Key' as: 'Unique identifier for each row in a table'.
How is a 'Foreign Key' defined in relational data modeling?,A column that unique identifies each row in the current table,A temporary variable stored in version control systems,An external IP address that secures analytical connections,A schema structure used exclusively in unstructured Apache Spark streaming,A column in a table referencing a primary key in another table,E,Slide 'Primary Keys and Foreign Keys' (Slide 78) defines 'Foreign Key' as: 'Column referencing a primary key in another table'.
What is an Entity-Relationship Diagram (ERD) designed to visually represent in a database system?,The physical JVM bytecode execution path of an analytical query,A flowchart representing how Git commits are pushed to repositories,"A database schema showing tables (entities), columns (attributes), primary keys, foreign keys, and relationships",The cluster topology including driver nodes and active executors,The historical timeline of database updates from Shark to Spark SQL,C,"According to Slide 'Entity Relationship Diagrams' (Slide 80), 'An Entity-Relationship Diagram (ERD) is a visual representation of a database schema that shows: tables (entities), columns (attributes), primary keys, foreign keys, relationships between tables'."
