question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"In computer vision object detection, bounding boxes are given in (x, y, w, h) format. If a ground-truth box is (1, 1, 4, 3) and a detector predicts (3, 2, 4, 4), what is the Intersection over Union (IoU) of the prediction with the ground truth?",4-Jan,3-Jan,6-Jan,7-Jan,5-Jan,C,"The ground-truth box spans x in [1, 5], y in [1, 4] with area 12. The predicted box spans x in [3, 7], y in [2, 6] with area 16. Overlap is x in [3, 5], y in [2, 4] with area 2 * 2 = 4. Union is 12 + 16 - 4 = 24. IoU = 4 / 24 = 1/6."
"If a ground-truth bounding box is (0, 0, 5, 5) and a predicted bounding box is (3, 3, 5, 5) in (x, y, w, h) format, what is the Intersection over Union (IoU) of the prediction with the ground truth?",4/46 (or 2/23),25-Apr,25-Feb,11-Jan,9-Jan,A,"Ground-truth box spans x in [0, 5], y in [0, 5] (area 25). Predicted box spans x in [3, 8], y in [3, 8] (area 25). Overlap intersection is x in [3, 5], y in [3, 5], which has width 2 and height 2, yielding intersection area 4. Union is 25 + 25 - 4 = 46. IoU = 4/46 = 2/23."
"Using the fixed vocabulary V = [the, cat, sat, on, mat, dog, chased], how is the document 'The cat sat on the mat. The dog chased the cat.' encoded as a term-frequency bag-of-words vector after lowercasing and stripping punctuation?","[4, 2, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1]","[2, 2, 1, 1, 1, 1, 1]","[4, 1, 1, 1, 1, 1, 1]","[3, 2, 1, 1, 1, 1, 1]",A,"Lowercasing and stripping punctuation yields 'the cat sat on the mat the dog chased the cat'. The term frequencies are: the=4, cat=2, sat=1, on=1, mat=1, dog=1, chased=1. Following the vocabulary V ordering gives the vector [4, 2, 1, 1, 1, 1, 1]."
"Using the same fixed vocabulary V = [the, cat, sat, on, mat, dog, chased], how is the document 'The dog chased the cat. The dog sat.' represented as a binary bag-of-words (multi-hot) vector after standardizing?","[1, 1, 1, 0, 0, 1, 1]","[3, 1, 1, 0, 0, 2, 1]","[1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1]",A,"Standardized: 'the dog chased the cat the dog sat'. Tokens present are: 'the', 'cat', 'sat', 'dog', 'chased'. Absent are: 'on', 'mat'. Binary bag-of-words records presence as 1 and absence as 0, giving [1, 1, 1, 0, 0, 1, 1]."
"A corpus contains 10,000 reviews. In review d, the term 'plot' occurs 5 times and appears in 100 reviews overall, while the term 'film' occurs 8 times and appears in 1,000 reviews overall. Using term frequency (raw count) and base-10 inverse document frequency (idf), what are the tf-idf weights of the two terms in d?",plot : 8; film: 10 (film is more characteristic of d),plot : 10; film: 8 (plot is more characteristic of d),plot : 10; film: 16 (film is more characteristic of d),plot : 5; film: 8 (film is more characteristic of d),plot : 2; film: 1 (plot is more characteristic of d),B,"idf(plot) = log10(10,000 / 100) = 2; tf-idf = 5 * 2 = 10. idf(film) = log10(10,000 / 1000) = 1; tf-idf = 8 * 1 = 8. Since 10 > 8, plot has the higher weight and is more characteristic."
"In a corpus of 100,000 documents, word X occurs 3 times in document d and has a document frequency of 1,000. Word Y occurs 6 times in document d and has a document frequency of 10,000. Using raw term frequency and base-10 inverse document frequency, which statement is correct?","Word X is more characteristic of d, with a tf-idf weight of 9.","Word Y is more characteristic of d, with a tf-idf weight of 10.","Word X is more characteristic of d, with a tf-idf weight of 6.","Word Y is more characteristic of d, with a tf-idf weight of 6.","Both words are equally characteristic of d, each having a tf-idf weight of 6.",E,"idf(X) = log10(100,000 / 1,000) = 2; tf-idf(X) = 3 * 2 = 6. idf(Y) = log10(100,000 / 10,000) = 1; tf-idf(Y) = 6 * 1 = 6. Since they both have an equal tf-idf score of 6, they are equally characteristic of document d."
"A multinomial Naive Bayes spam filter is trained on four messages: 1) 'win, win, cash, prize, win' (spam), 2) 'win, cash, prize' (spam), 3) 'cash, cash, cash, win' (not spam), and 4) 'cash, win, prize, prize' (not spam). What label and unnormalized posterior score does the maximum likelihood model assign to 'win cash cash'?","spam, with score 1/64","not spam, with score 1/64","spam, with score 1/32","not spam, with score 1/32","spam, with score 1/16",D,"P(spam) = P(not spam) = 0.5. In spam: win=4, cash=2 (total 8), so P(win|spam)=1/2, P(cash|spam)=1/4. Score(spam) = 0.5 * (1/2) * (1/4)^2 = 1/64. In not spam: cash=4, win=2 (total 8), so P(win|not spam)=1/4, P(cash|not spam)=1/2. Score(not spam) = 0.5 * (1/4) * (1/2)^2 = 1/32. Since 1/32 > 1/64, label is 'not spam' with unnormalized score 1/32."
"Given three 6-dimensional word embeddings a = [0.2, 0.5, 0.1, 0.4, 0.0, 0.3], b = [0.1, 0.2, 0.4, 0.0, 0.5, 0.2], and c = [0.4, 0.3, 0.2, 0.5, 0.1, 0.6], what is the cosine similarity between the phrase vector (a + b) and c (to two decimal places)?",0.84,0.79,0.91,0.67,0.55,A,"a + b = [0.3, 0.7, 0.5, 0.4, 0.5, 0.5]. Dot product with c is 0.98. Norm of (a + b) is sqrt(1.49) ≈ 1.221, norm of c is sqrt(0.91) ≈ 0.954. Cosine similarity = 0.98 / (1.221 * 0.954) ≈ 0.84."
Which of the following statements correctly characterizes Faster R-CNN as an object detector?,Anchor boxes are predicted directly from raw pixels with no predefined shapes or aspect ratios.,Faster R-CNN is a single-stage detector that bypasses region proposals to run faster.,"A region proposal network shares convolutional features with the detector, making Faster R-CNN trainable end to end.",Non-maximum suppression merges overlapping boxes by averaging their coordinates and confidence scores.,Faster R-CNN does not utilize a backbone convolutional feature extractor.,C,"The key feature of Faster R-CNN is the Region Proposal Network (RPN), which shares convolutional features with the downstream detection head, allowing the entire system to be trained end-to-end."
Which of the following statements about Byte-Pair Encoding (BPE) tokenization is correct?,BPE begins with a full-word vocabulary and splits rare words until only single characters remain.,"BPE begins with characters and repeatedly merges the most frequent adjacent pair, so unseen words back off to known subwords.","BPE merges adjacent units only across word boundaries, so a space is required between every subword.",BPE assigns every distinct word a single integer ID and maps anything unseen to one fixed OOV token.,"BPE is a top-down, rule-based linguistic morphological analyzer.",B,"BPE is a bottom-up subword tokenization scheme that starts with characters and iteratively merges frequent pairs, helping prevent out-of-vocabulary (OOV) issues by enabling unseen words to decompose into known subwords."
