question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_answer,explanation
"Which of the following knowledge limitations of language models is NOT directly resolvable by supervised fine-tuning (SFT) or parameter updates alone, thus motivating the use of Retrieval-Augmented Generation (RAG)?",Standardizing response formats and conversational style.,"Resolving staleness, ensuring data privacy, and providing traceable citations.","Adding emotional alignment, such as polite refusals or specific tone adjustments.",Rehearsing general conversational fluency to avoid overfitting.,Lowering sequence-level token costs during the pretraining stage.,B,"Fine-tuning is effective at modifying behavior and formatting style. However, three key knowledge problems remain: staleness (cutoff date), privacy (baking sensitive files into weights), and attribution (generating claims without traceable citations) (Lecture 10, Slide 'What Weight Updates Cannot Fix')."
Modern text embedding models for retrieval are typically trained contrastively (such as Sentence-BERT). What is the main objective of this training paradigm?,"To maximize the probability of predicting the next token in a sequence in a generative, autoregressive manner.",To minimize the cosine distance between related query-passage pairs while pushing unrelated passages apart in the representation space.,"To enforce a strict vocabulary boundary by assigning OOV words to a static, high-frequency index.",To map high-dimensional sparse representations into a B-tree structure.,To calculate the relative word frequencies over a global corpus without using gradient descent.,B,"Embedding models are trained contrastively to pull relevant query-passage pairs closer together and push random, unrelated passages apart across hundreds of millions of pairs (Lecture 10, Slide 'Text Embeddings for Retrieval')."
"A user queries 'connecting wireless headphones,' but the corpus contains 'pairing a Bluetooth audio device.' Which retrieval family is most likely to succeed in returning this document, and why?","Sparse retrieval (BM25), because it heavily penalizes long documents with keyword duplication.","Dense retrieval, because it uses learned vector spaces that capture semantic meaning rather than relying on exact word overlaps.","Sparse retrieval (BM25), because both 'headphones' and 'device' are mapped to the same unigram index.","Dense retrieval, because it converts characters into high-frequency inverted indices.",Neither method can succeed without updating the model weights through supervised fine-tuning.,B,"This is a classic case of vocabulary mismatch. BM25 scores near zero due to the lack of shared terms, whereas a dense embedder can place the semantically similar concepts side by side in the embedding space (Lecture 10, Slide 'Where Dense Wins and Where Sparse Wins')."
In which of the following scenarios is sparse retrieval (such as BM25) typically superior to dense retrieval embedding models?,Searching for conceptual paraphrases or abstract summaries.,Cross-lingual similarity matches where the queries and documents are in different languages.,"Retrieving exact error codes (e.g., E-4013), drug names (e.g., imatinib), or specific legislative statutes.","Mapping conversational, poorly phrased user questions to structured product categories.",Bypassing the need for incremental document index updates.,C,"For exact identifiers, drug names, gene symbols, or legal citations, embedding models tend to blur rare unseen strings toward similar-looking tokens, whereas BM25 matches the exact literal token (Lecture 10, Slide 'Where Dense Wins and Where Sparse Wins')."
"Although frontier models support million-token context windows, why does production RAG still utilize a retrieval selection step (e.g., top-k) rather than feeding the entire corpus into the prompt?","Large models always process prompt tokens in a memory-bandwidth-bound fashion, making it slow.","Feeding millions of tokens per query is economically ruinous, and models exhibit 'lost in the middle' behavior where they ignore evidence in long inputs.","Attention cost grows linearly with sequence length, making long context models cheaper to run.","Pre-filtering is impossible when context windows exceed 100,000 tokens.",The KV cache can only store up to 512 tokens before completely running out of GPU memory.,B,"Long contexts incur massive computational costs, and models attend unevenly, often ignoring relevant evidence buried in the middle of long inputs (Lecture 10, Slide 'Selecting What Enters the Context Window')."
"A database stores 100,000,000 vectors of dimension d = 768 in FP32 precision. If we apply Product Quantization (PQ) by splitting each vector into m = 96 subvectors and representing each subvector by a 1-byte centroid ID (from 256 centroids), what is the resulting memory storage per vector, and what is the memory reduction factor compared to raw storage?",96 bytes; 32x reduction,384 bytes; 8x reduction,192 bytes; 16x reduction,3072 bytes; 1x (no change),48 bytes; 64x reduction,A,"A 768-dimensional FP32 vector requires 768 * 4 bytes = 3,072 bytes. After PQ with m = 96 subvectors mapped to 1-byte centroid IDs (since 256 centroids fit in log2(256) = 8 bits = 1 byte), the vector requires 96 bytes. The reduction is 3072 / 96 = 32x (Lecture 10, Slide 'Compressing the Index: Product Quantization')."
"An IVF index stores N = 9,000,000 vectors partitioned into nlist = 3,000 cells. At query time, we compare the query vector against all centroids, then scan the posting lists of the nprobe = 5 nearest cells. Assuming even distribution, how many coarse centroid comparisons and fine vector comparisons are performed?","3,000 coarse; 3,000 fine","3,000 coarse; 15,000 fine","5 coarse; 15,000 fine","15,000 coarse; 3,000 fine","3,000 coarse; 45,000 fine",B,"IVF queries perform centroid comparisons to identify cells, costing nlist = 3,000 comparisons. Then, they scan nprobe = 5 cells. With even partitioning, each cell holds N / nlist = 9,000,000 / 3,000 = 3,000 vectors. Scanning 5 cells costs 5 * 3,000 = 15,000 fine vector comparisons (HW10, Problem 13)."
"Following the IVF index query setup from the previous question (N = 9,000,000, nlist = 3,000, nprobe = 5, with even partitioning), what is the exact computational speedup factor achieved over a brute-force exhaustive scan of the entire database?",1500x,600x,500x,333x,250x,C,"The total cost of an IVF query is 3,000 (centroids) + 15,000 (cell scan) = 18,000 comparisons. An exact exhaustive search requires 9,000,000 comparisons. The speedup factor is 9,000,000 / 18,000 = 500x (HW10, Problem 13)."
Why is cosine similarity widely used as a similarity measure in document vector retrieval rather than dot product or Euclidean distance?,It computes the Jaccard overlap of literal string terms in O(1) time.,"It normalizes document lengths away by dividing the dot product by both vector magnitudes, evaluating direction alone.",It guarantees that long documents with repetitive terms receive an automatic scoring advantage.,It bypasses the need to represent queries and passages as dense embedding vectors.,It acts as an exact lexical inverted index on the GPU.,B,"Cosine similarity divides the dot product of two vectors by the product of their magnitudes. This normalizes length away, leaving only the angle between the vectors, preventing longer passages from gaining an automatic advantage over shorter ones (HW10, Problem 14)."
"A RAG pipeline performs hybrid search over a corpus using dense and sparse retrievers. For a target chunk X, the dense retriever assigns a rank of 2, while the sparse retriever assigns a rank of 4. Using the standard RRF formula with the default smoothing constant k = 60, what is the RRF score of chunk X?",0.0323,0.0318,0.0161,0.0325,0.0156,B,"The RRF score is calculated as: 1 / (k + r_dense) + 1 / (k + r_sparse). Here, r_dense = 2 and r_sparse = 4. RRF(X) = 1 / (60 + 2) + 1 / (60 + 4) = 1/62 + 1/64 = 0.016129 + 0.015625 = 0.031754 ≈ 0.0318 (Lecture 10, Slide 'Reciprocal Rank Fusion')."
"Suppose Chunk A has a dense rank of 1 and BM25 rank of 3. Chunk B has a dense rank of 2 and BM25 rank of 1. Under RRF fusion (k = 60), which chunk ranks higher, and what are their respective RRF scores?",Chunk A ranks higher (RRF score: 0.0325 vs 0.0323 for Chunk B).,Chunk B ranks higher (RRF score: 0.0325 vs 0.0323 for Chunk A).,Both chunks tie with an identical RRF score of 0.0324.,Chunk A ranks higher because dense retrieval is given 2x weight in RRF.,Chunk B ranks higher because its BM25 rank is 1 and BM25 scores are unbounded.,B,"RRF scores are based purely on ranks. RRF(A) = 1/(60+1) + 1/(60+3) = 1/61 + 1/63 ≈ 0.01639 + 0.01587 = 0.03226. RRF(B) = 1/(60+2) + 1/(60+1) = 1/62 + 1/61 ≈ 0.01613 + 0.01639 = 0.03252. Since 0.03252 > 0.03226, Chunk B ranks higher (Lecture 10, Slide 'Reciprocal Rank Fusion')."
How does the Hierarchical Navigable Small World (HNSW) index allow developers to trade query-time latency for retrieval recall accuracy at serving time?,By dynamically adjusting the number of centroids (nlist) at runtime.,"By modifying the efSearch parameter, which controls the size of the dynamic candidate list evaluated during greedy graph traversal.",By retraining the underlying S-BERT embedder with fewer negative samples.,By converting the graph into an exhaustive multi-dimensional k-d tree.,By offline sorting of high-magnitude vectors using Manhattan distance.,B,"HNSW exposes the efSearch parameter at query time. A larger efSearch value lets the search traverse more branches of the layered proximity graph, boosting recall at the cost of higher query latency (HW10, Problem 16)."
Why does the lecture study argue that 'ingestion is where RAG quality is decided' and has a hard ceiling?,Because the embedding model must be retrained on each individual raw PDF file.,"Naive PDF extraction shreds structural boundaries, divorces numbers in tables from row labels, and splits sections by character limits, making the retrieved evidence fragmented and unreadable.",Because PDFs store all text as pre-computed 768-dimensional dense vectors.,It forces the generator to read raw byte strings instead of tokens.,Vector databases cannot support the storage of raw PDFs as metadata.,B,"Ingestion (parsing, table handling, chunking) is unglamorous but decisive. Splitting tables or figures naively destroys relational information, and no downstream model can reason over destroyed evidence (Lecture 10, Slide 'Phase 1: Ingestion Is Where Quality Is Decided')."
